|1identity|2g-mod|3anarch|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11whenever you install a virus program, the corp trashes the top card of r&d.|12|13noise: hacker extraordinaire|

|1hardware|2console|3shaper|4&^^|5|6true|7|8|9|10|11+{M}^\draw &^ card whenever the corp creates a server.\limit &^ console per player.|12&^|13astrolabe|

|1resource|2location|3neutral|4&|5|6true|7|8|9|10|11place X power counters on @ when it is installed. when there are no power counters left on @, trash it.\hosted power counter: reveal the top card of your stack. you may add that card to the bottom of your stack.|12X|13angel arena|

|1hardware|2console|3anarch|4&^^^|5|6true|7|8|9|10|11your memory limit is equal to the number of cards in your grip.\limit &^ console per player.|12&^^|13ekomind|

|1program|2icebreaker, killer|3anarch|4&^^^|5&|6|7|8&^|9|10|11when you install this program, place &^^^^ power counters on it.\hosted power counter: break up to &^^ sentry subroutines.\{C}^: +&^ strength.|12&^^^|13cerberus "cuj.0" h3|

|1identity|2natural|3criminal|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11whenever an agenda is scored or stolen, add &^ unrezzed card to hq.|12|13leela patel: trained pragmatist|

|1program|2icebreaker, decoder|3criminal|4&^^^|5&^|6|7|8&^|9|10|11when you install this program, place &^^^^ power counters on it.\hosted power counter: break up to &^^ code gate subroutines.\{C}^: +&^ strength.|12&^^^|13cerberus "rex" h2|

|1resource|2|3criminal|4&^|5|6|7|8|9|10|11place {C}^ on @ when your turn begins.\{O}: take all credits from @.\trash @ if you are tagged.|12&^^|13zona sul shipping|

|1hardware|2|3shaper|4&^|5|6|7|8|9|10|11{R}^\use this credit to install programs.|12&^^|13cybsoft macrodrive|

|1program|2icebreaker, fracter|3shaper|4&^^^|5&^^^|6|7|8&^|9|10|11when you install this program, place &^^^^ power counters on it.\hosted power counter: break up to &^^ barrier subroutines.\{C}^: +&^ strength.|12&^^^^|13cerberus "lady" h1|

|1resource|2virtual, source|3neutral|4&^|5|6true|7|8|9|10|11whenever you make a successful run on hq, instead of breaching hq, you may install this program from your grip, ignoring all costs.\{T}: the corp discards &^^ cards from hq at random.\limit &^ per deck.|12&^^^^^^^|13utopia shard|

|1program|2virus|3anarch|4&^^^|5|6|7|8&^|9|10|11when your turn begins, place &^ virus counter on @.\{O}, {T}: move all virus counters from @ to another installed virus program.|12&^^^|13incubator|

|1program|2virus|3anarch|4&^^|5|6|7|8&^|9|10|11whenever the corp loses at least {C}^, gain {C}^.\trash @ if the corp purges virus counters.|12&^|13ixodidae|

|1event|2run|3shaper|4&^^^^|5|6|7|8|9|10|11run r&d. if successful, instead of breaching r&d, you may search your stack for &^ program. install it, paying {C}^^^ less for each piece of ice protecting r&d, and then take &^ tag.|12&|13code siphon|

|1program|2|3shaper|4&^^|5|6|7|8&^^|9|10|11draw &^ card whenever the corp rezzes a piece of ice.|12&^^|13collective consciousness|

|1program|2icebreaker, decoder, fracter|3shaper|4&^^^|5&|6|7|8&^^|9|10|11this program gets +&^ strength for each unused mu.\{C}^^: break &^ code gate or &^ barrier subroutine.|12&^^^^|13sage|

|1event|2run|3criminal|4&^^|5|6|7|8|9|10|11make a run. during this run, the corp must pay {C}X as an additional cost to rez the first unrezzed piece of ice approached.|12X|13bribery|

|1program|2|3criminal|4&^^|5|6|7|8&^|9|10|11gain {C}^ whenever you jack out.|12&^|13au revoir|

|1resource|2location, ritzy|3neutral|4&|5|6true|7|8|9|10|11when you install this resource, load &^^^ power counters onto it. when it is empty, trash it.\when your turn begins, remove &^ hosted power counter and draw &^^ cards.|12&^^^^|13earthrise hotel|

|1identity|2natural|3anarch|4&|5|6|7&^|8|9&^^^^^^^^^^^^^^^|1045|11trash the first operation you access each turn at no cost.|12|13edward kim: humanity's hammer|

|1identity|2g-mod|3anarch|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11when your turn begins, trash the top &^^ cards of your stack. draw &^ card.|12|13maxx: maximum punk rock|

|1identity|2natural|3anarch|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1050|11the corp starts the game with &^ bad publicity.|12|13valencia estevez: the angel of cayambe|

|1event|2|3anarch|4&^^^|5|6|7|8|9|10|11gain {O}{O}{O} and suffer &^ brain damage (cannot be prevented).|12&^|13amped up|

|1event|2|3anarch|4&^^|5|6|7|8|9|10|11draw &^^^ cards.\whenever @ is trashed by taking net or meat damage, draw &^^^ cards.|12&^|13i've had worse|

|1event|2current|3anarch|4&^^|5|6|7|8|9|10|11this card is not trashed until another current is played or an agenda is scored.\the corp's maximum hand size is reduced by &^ for each bad publicity he or she has.|12&^^|13itinerant protesters|

|1event|2run|3anarch|4&^^^|5|6|7|8|9|10|11run r&d. if successful, when you breach r&d, access cards from the bottom of r&d instead of the top.|12&^^|13showing off|

|1event|2run, sabotage|3anarch|4&^^^^|5|6|7|8|9|10|11run hq. if successful, instead of breaching hq, you may spend any number of {O} to force the corp to trash that many cards from hq at random.|12&^|13wanton destruction|

|1event|2|3anarch|4&^|5|6|7|8|9|10|11as an additional cost to play this event, spend {O}{O}{O}.\gain {C}.|12&^^|13day job|

|1event|2run, sabotage|3anarch|4&^^^|5|6|7|8|9|10|11run any server. the first time you fully break a sentry during that run, trash that sentry.|12&^^|13forked|

|1event|2run, sabotage|3anarch|4&^^^|5|6|7|8|9|10|11run any server. the first time you fully break a barrier during that run, trash that barrier.|12&^|13knifed|

|1event|2run, sabotage|3anarch|4&^^^|5|6|7|8|9|10|11run any server. the first time you fully break a code gate during that run, trash that code gate.|12&^^|13spooned|

|1program|2icebreaker, ai|3anarch|4&^^^|5&^^|6|7|8&^|9|10|11{C}^: break &^ subroutine. you cannot access cards for the remainder of this run.\{C}^: +&^ strength.|12&^^^^|13eater|

|1program|2virus|3anarch|4&^^|5|6|7|8&^|9|10|11whenever an installed corp card is trashed, place &^ virus counter on @.\{O}, hosted virus counter: the corp trashes the top card of r&d.|12&^^|13gravedigger|

|1program|2virus|3anarch|4&^^^^^|5|6true|7|8&^^|9|10|11place &^ virus counter on @ when it is installed.\virus counters on @ are considered to be hosted on all other virus programs for the purposes of card effects (and can be spent as if on them).|12&^^^|13hivemind|

|1program|2daemon|3anarch|4&^^|5|6|7|8&|9|10|11you can install virus programs onto this program. limit &^ hosted program.\the memory cost of the hosted program does not count against your memory limit.\whenever virus counters would be purged, prevent &^ virus counter on the hosted program from being removed.|12&|13progenitor|

|1hardware|2|3anarch|4&^^|5|6|7|8|9|10|11whenever you would access a card in archives, you may instead remove it from the game. use this ability only once each time you breach archives.|12&^^^|13archives interface|

|1hardware|2|3anarch|4&^|5|6true|7|8|9|10|11when your turn begins, you may trash another of your installed cards. if you do, draw &^ card or remove &^ tag.|12&^|13chop bot 3000|

|1hardware|2chip|3anarch|4&^^|5|6|7|8|9|10|11+{M}^^^\use the mu on @ only for virus programs.|12&^^^|13memstrips|

|1hardware|2console|3anarch|4&^^|5|6true|7|8|9|10|11+{M}^\when your turn begins, draw &^ card if the corp has cards in hq equal to his or her maximum hand size.\limit &^ console per player.|12&^^|13vigil|

|1resource|2connection|3anarch|4&^^|5|6true|7|8|9|10|11whenever an agenda is scored or stolen, gain credits equal to the agenda points on that agenda.|12&^|13human first|

|1resource|2|3anarch|4&^|5|6|7|8|9|10|11install only if the corp has at least &^ bad publicity.\{O},{O},{O},{O},{T}: give the corp &^ bad publicity.|12&|13investigative journalism|

|1resource|2|3anarch|4&^^^^|5|6|7|8|9|10|11{T}: prevent all damage. trash all installed hardware, all installed non-virtual resources, and all cards in your grip. lose all credits in your credit pool. remove all tags.|12&^^^|13sacrificial clone|

|1resource|2connection|3anarch|4&^^^|5|6|7|8|9|10|11when your turn begins, if there are &^^ or more power counters on @, remove all power counters from it and suffer &^ brain damage (cannot be prevented); otherwise, place &^ power counter on @ and gain {O}.|12&^^^^|13stim dealer|

|1resource|2virtual|3anarch|4&^^|5|6|7|8|9|10|11when your turn begins, place &^ virus counter on @.\{O}: move &^ virus counter on @ to another card with at least &^ virus counter on it.|12&^^|13virus breeding ground|

|1event|2|3neutral|4&|5|6|7|8|9|10|11add an installed program or piece of hardware to your grip.|12&|13uninstall|

|1hardware|2vehicle|3neutral|4&|5|6|7|8|9|10|11when your turn begins, you may lose {O}. if you do, prevent the first tag you would take until your next turn begins.|12&^^|13qianju pt|

|1resource|2virtual|3neutral|4&|5|6|7|8|9|10|11when your turn begins, gain {C}^ if you have &^^ or more unused mu.|12&^^^|13data folding|

|1program|2virus|3anarch|4&^^|5|6|7|8&^|9|10|11the corp cannot score an agenda during the same turn they installed that agenda.\when the corp purges virus counters, trash this program.|12&^^|13clot|

|1resource|2connection|3anarch|4&^^|5|6true|7|8|9|10|11the first time you install a card each turn (including @), you may search your stack for any number of copies of that card and add them to your heap. shuffle your stack.|12&|13paige piper|

|1resource|2genetics|3anarch|4&^^|5|6true|7|8|9|10|11the first time each turn you lose {O} except by paying the trigger cost of a paid ability, gain {O}.|12&^^^|13adjusted chronotype|

|1program|2icebreaker, fracter, cloud|3criminal|4&^^|5&|6|7|8&^|9|10|11if you have at least {L}^^, the memory cost of this program is {M}, even if it is not installed.\this program gets +&^ strength for each installed icebreaker.\{T}: break up to &^^^ barrier subroutines.|12&^|13spike|

|1resource|2genetics|3criminal|4&^^^|5|6true|7|8|9|10|11the first time you make a successful run each turn, the corp reveals &^ card at random from hq.|12&^|13enhanced vision|

|1resource|2location|3shaper|4&^|5|6|7|8|9|10|11genetics also trigger the second time each turn their trigger condition is met.|12&^^|13gene conditioning shoppe|

|1resource|2genetics|3shaper|4&^^|5|6true|7|8|9|10|11the first time you take damage each turn, draw &^ card.|12&^^^|13synthetic blood|

|1event|2current|3neutral|4&|5|6|7|8|9|10|11this card is not trashed until another current is played or an agenda is scored.\the advancement requirement of each agenda is increased by &^ for each copy of that agenda in the corp's score area.|12&^^|13traffic jam|

|1resource|2genetics|3neutral|4&|5|6true|7|8|9|10|11the first time you spend {O} to draw &^ card (not through a card ability) each turn, gain {C}^.|12&^^|13symmetrical visage|

|1event|2current|3anarch|4&^^|5|6|7|8|9|10|11this card is not trashed until another current is played or an agenda is scored.\as an additional cost to rez non-ice cards, the corp must randomly trash a card from hq.|12&^|13hacktivist meeting|

|1resource|2location|3anarch|4&^|5|6|7|8|9|10|11@ can host any number of connections.\whenever you install a connection on @, draw &^ card.|12&|13off-campus apartment|

|1event|2|3criminal|4&^|5|6|7|8|9|10|11install &^ resource from your grip, paying {C}^^^ less.|12&|13career fair|

|1hardware|2|3criminal|4&^|5|6|7|8|9|10|11place &^^^^ power counters on @ when you install it.\{O}, hosted power counter: make a run. avoid all tags for the remainder of the run.|12&|13dorm computer|

|1identity|2g-mod|3shaper|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11the first time you install a card each turn, you may install another card of the same type from your grip (paying its install cost).|12|13hayley kaplan: universal scholar|

|1event|2double|3shaper|4&^^^|5|6|7|8|9|10|11as an additional cost to play this event, spend {O}.\if you have fewer cards in your grip than your maximum hand size, draw cards until you have cards in your grip equal to your maximum hand size.|12&^|13game day|

|1hardware|2console|3shaper|4&^^|5|6true|7|8|9|10|11+{M}^\the first time you play an event each turn, you may play another event (without spending a click) after the first &^ resolves.\limit &^ console per player.|12&^^^^|13comet|

|1program|2icebreaker, decoder|3shaper|4&^^^^|5&|6|7|8&^|9|10|11{C}^: break &^ code gate subroutine.\{C}^^: place &^ power counter on this program.\this program gets +&^ strength for each hosted power counter.|12&^^^|13study guide|

|1resource|2location|3shaper|4&^^|5|6true|7|8|9|10|11trash all programs hosted on @ when your turn ends.\{O}: install a non-virus program from your grip on @, ignoring the install cost.\{O}: add a program on @ to your grip.|12&^^^|13london library|

|1resource|2location|3shaper|4&^^|5|6true|7|8|9|10|11{O}, {O}: search your stack for a piece of hardware, reveal it, and add it to your grip. shuffle your stack.|12&^^|13tyson observatory|

|1resource|2|3neutral|4&|5|6|7|8|9|10|11when your turn begins, lose {O}.\your maximum hand size is increased by &^^^^^.|12&|13beach party|

|1event|2run|3anarch|4&^^^|5|6|7|8|9|10|11run archives. if successful, whenever you would access a faceup piece of ice in archives this run, you may instead trash &^ rezzed copy of that ice. use this ability only once this run.|12&|13immolation script|

|1hardware|2cybernetic|3anarch|4&^^|5|6true|7|8|9|10|11when you install @, suffer &^ brain damage.\the trash cost of all cards is lowered by &^.|12&^^|13skulljack|

|1hardware|2console|3anarch|4&^^|5|6true|7|8|9|10|11+{M}^\whenever you steal an agenda, you may swap that agenda with an agenda in the corp's score area.\limit &^ console per player.|12&^^|13turntable|

|1resource|2location|3anarch|4&^|5|6|7|8|9|10|11prevent all meat damage and brain damage from installing cybernetics.|12&^|13chrome parlor|

|1hardware|2cybernetic|3criminal|4&^^|5|6true|7|8|9|10|11when you install @, suffer &^^ meat damage.\you choose the card(s) from your grip to trash whenever you take damage (including the damage taken by installing @).|12&^|13titanium ribs|

|1program|2icebreaker, decoder, cloud|3criminal|4&^^|5&|6|7|8&^|9|10|11if you have at least {L}^^, the memory cost of this program is {M}, even if it is not installed.\this program gets +&^ strength for each installed icebreaker.\{T}: break up to &^^^ code gate subroutines.|12&^|13crowbar|

|1hardware|2cybernetic|3shaper|4&^^|5|6true|7|8|9|10|11when you install @, suffer &^^ meat damage.\whenever you initiate a run, choose an icebreaker. that icebreaker has +&^ strength for the remainder of the run.|12&|13net-ready eyes|

|1program|2|3shaper|4&^^^|5|6|7|8&^|9|10|11{O}: run r&d. if successful, instead of breaching r&d, you may choose &^ unrezzed non-ice card with no advancement counters on it. the corp shuffles that card into r&d.|12&^^|13analog dreamers|

|1hardware|2cybernetic|3neutral|4&|5|6true|7|8|9|10|11when you install @, suffer &^ brain damage.\your maximum hand size is increased by &^^^.|12&^|13brain cage|

|1program|2icebreaker, ai|3anarch|4&^^|5&^^|6|7|8&^|9|10|11trash a card from your grip: break &^ subroutine.\trash a card from your grip: +&^^ strength.|12&^^^|13faust|

|1resource|2connection, seedy|3anarch|4&^|5|6|7|8|9|10|11when you install @, host the top &^^^ cards of your stack facedown on @ (you may look at these cards at any time).\{T}: install &^ card hosted on @, lowering its install cost by &^.|12&|13street peddler|

|1identity|2g-mod|3criminal|4&|5|6|7&^|8|9&^^^^^^^^^^^^^^^|1045|11whenever you use a {T} ability, draw &^ card.|12|13armand "geist" walker: tech lord|

|1event|2double|3criminal|4&^^|5|6|7|8|9|10|11as an additional cost to play this event, spend {O}.\expose &^ card installed in the root of a remote server. if you do and that card is an asset or upgrade, trash it.|12&|13drive by|

|1hardware|2console|3criminal|4&^|5|6|7|8|9|10|11+{L}^\{T}: prevent &^ tag.\{T}: remove &^ tag.\limit &^ console per player.|12&^|13forger|

|1program|2icebreaker, killer, cloud|3criminal|4&^^|5&|6|7|8&^|9|10|11if you have at least {L}^^, the memory cost of this program is {M}, even if it is not installed.\this program gets +&^ strength for each installed icebreaker.\{T}: break up to &^^^ sentry subroutines.|12&|13shiv|

|1resource|2virtual|3criminal|4&^^^|5|6|7|8|9|10|11whenever the corp scores an agenda, breach hq. you cannot access cards in the root of hq during this breach.|12&^|13gang sign|

|1resource|2connection|3criminal|4&^^|5|6|7|8|9|10|11when you install @, the corp must derez a card.\when @ is uninstalled, the corp may rez a card, ignoring the rez cost.\{T}: draw &^ card.|12&|13muertos gang member|

|1program|2icebreaker|3shaper|4&^^^|5&^^^|6|7|8&^|9|10|11when you install this program, choose barrier, code gate, or sentry.\when your discard phase ends, add this program to your grip.\{C}^: break &^ subroutine on a piece of ice that has the chosen subtype.|12&^^|13chameleon|

|1program|2|3shaper|4&^^^|5|6|7|8&^^^|9|10|11when your turn begins, you may remove @ from the game and gain {O}{O}{O}.|12&^|13hyperdriver|

|1program|2|3anarch|4&^^^|5|6|7|8&^|9|10|11when your turn begins, place &^ power counter on @.\{O}, remove @ from the game: shuffle &^ card from your heap into your stack for each power counter on @.|12&^|13trope|

|1resource|2virtual|3anarch|4&^^^|5|6|7|8|9|10|11whenever the corp scores an agenda, he or she trashes the top card of r&d.|12&^|13spoilers|

|1resource|2connection|3criminal|4&^|5|6|7|8|9|10|11when your turn begins, lose {C}^.\when the corp's turn begins, draw &^ card.|12&^|13drug dealer|

|1resource|2virtual|3criminal|4&^|5|6|7|8|9|10|11when you install @, look at the top &^^^^^ cards of your stack and arrange them in any order.\when @ is trashed, trash the top &^^^ cards of your stack.|12&|13rolodex|

|1resource|2virtual|3shaper|4&^|5|6|7|8|9|10|11whenever the corp scores an agenda, add @ to your score area as an agenda worth & agenda points.|12&|13fan site|

|1resource|2connection|3shaper|4&^|5|6|7|8|9|10|11@ can host a single agenda.\whenever you access an agenda, you may host that agenda on @ (the agenda is no longer being accessed and is uninstalled).\{O},{O}: add an agenda hosted on @ to your score area.|12&^|13film critic|

|1resource|2|3neutral|4&|5|6|7|8|9|10|11you are tagged.\prevent all meat damage.|12&|13paparazzi|

|1event|2priority|3anarch|4&^^|5|6|7|8|9|10|11play only as your first {O}.\the first time you access an agenda this turn, gain {C}^^^^^^^.|12&|13power to the people|

|1program|2|3anarch|4&^^^|5|6|7|8&^|9|10|11{C}^^: swap a piece of barrier ice currently being encountered with a piece of ice directly before or after it. the run continues from this new position. you are still encountering that ice.|12&^^|13surfer|

|1resource|2virtual|3anarch|4&^^^|5|6|7|8|9|10|11{T}: the corp cannot rez the outermost piece of ice during a run on any server this turn.|12&^^^|13ddos|

|1identity|2natural|3criminal|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11the first time you make a successful run on a central server each turn, you may force the corp to draw &^ card.|12|13laramy fisk: savvy investor|

|1event|2priority|3criminal|4&^^|5|6|7|8|9|10|11play only as your first {O}.\each player draws &^^^ cards.|12&|13fisk investment seminar|

|1hardware|2|3shaper|4&^^|5|6|7|8|9|10|11{O}: host up to &^^^ cards from your grip facedown on this hardware .\{O}: add all hosted cards to your grip.\{T}: add all hosted cards to your grip.|12&|13bookmark|

|1program|2|3shaper|4&^^|5|6|7|8&^|9|10|11whenever you make a successful run, place &^ power counter on @.\{T}: install a card from your grip with an install cost equal to or less than the number of power counters on @, ignoring the install cost.|12&^|13davinci|

|1resource|2location|3neutral|4&|5|6true|7|8|9|10|11as an additional cost to take the basic action to trash &^ resource, the corp must pay {C}^^.|12&^|13wireless net pavilion|

|1identity|2digital|3apex|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^^^^^^^^^^^|1045|11you cannot install non-virtual resources.\when your turn begins, you may install &^ card from your grip facedown.|12|13apex: invasive predator|

|1event|2|3apex|4&^^^|5|6|7|8|9|10|11play only if you made a successful run on hq, r&d and archives this turn.\trash all installed corp cards. turn all installed runner cards facedown.|12&^^^|13apocalypse|

|1event|2run|3apex|4&^^|5|6|7|8|9|10|11make a run. once during this run, when you pass a piece of ice, you may trash a number of your installed cards equal to the strength of that ice. if you do, trash that ice.|12&|13prey|

|1hardware|2console|3apex|4&^^^|5|6true|7|8|9|10|11+{M}^\trash an installed card: prevent &^ damage.\limit &^ console per player.|12&^^|13heartbeat|

|1program|2icebreaker|3apex|4&^^|5&^^^^^^^^^^^|6|7|8&^^^^|9|10|11trash &^ installed card: break &^ "> end the run." subroutine.|12&|13endless hunger|

|1program|2|3apex|4&^|5|6|7|8&|9|10|11when this program would be trashed, turn it facedown instead of adding it to your heap. |12&|13harbinger|

|1resource|2location, virtual|3apex|4&^|5|6|7|8|9|10|11once per turn, prevent a "when encountered" ability on a piece of ice.\{T}: install the top &^^^ cards of your stack facedown.|12&^^|13hunting grounds|

|1resource|2location, virtual|3apex|4&^^|5|6|7|8|9|10|11the first time each turn you trash &^ of your installed cards, gain {C}^.|12&^^|13wasteland|

|1identity|2bioroid|3adam|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^^^^^^^^^^^|1045|11you start the game with &^^^ different directive cards installed (these cards are not considered part of your deck).|12|13adam: compulsive hacker|

|1event|2|3adam|4&^|5|6|7|8|9|10|11trash up to &^^^^^ of your installed cards. draw &^ card for each card trashed (or &^^ cards for each card trashed if you trashed at least &^ directive).|12&^|13independent thinking|

|1hardware|2console|3adam|4&^^^|5|6true|7|8|9|10|11+{M}X\your maximum hand size is increased by x.\x is equal to the number of agenda points you have.\limit &^ console per player.|12&^^|13brain chip|

|1program|2|3adam|4&^|5|6|7|8&^|9|10|11{R}^^\use these credits to pay for using programs.|12&^^^|13multithreader|

|1resource|2directive, virtual|3adam|4&^^^|5|6true|7|8|9|10|11the first {O} you spend each turn must be spent to play a run event or take the basic action to run a server.\lose {O}{O}: break &^ subroutine on the ice you are encountering. use this ability only once per turn.|12&|13always be running|

|1resource|2connection|3adam|4&^|5|6true|7|8|9|10|11when your turn begins, choose &^ of your installed cards. the text box of that card is blank for the remainder of the turn.|12&^^|13dr. lovegood|

|1resource|2directive, virtual|3adam|4&^^^|5|6true|7|8|9|10|11the first time each turn you access a card with a trash cost, reveal it. you must trash that card by paying its trash cost, if able.\whenever you breach hq, access &^ additional card.|12&|13neutralize all threats|

|1resource|2directive, virtual|3adam|4&^^^|5|6true|7|8|9|10|11your maximum hand size is reduced by &^^.\when your turn ends, draw &^ card if you do not have cards in your grip equal to or greater than your maximum hand size.|12&|13safety first|

|1identity|2natural|3sunny|4&|5|6|7&^^|8|9&^^^^^^^^^^^^^^^^^^^^^^^^^|1050|11|12|13sunny lebeau: security specialist|

|1hardware|2chip|3sunny|4&^|5|6|7|8|9|10|11{T}: choose an icebreaker (or any number of cloud icebreakers). each chosen icebreaker has +&^ strength for each {L} you have for the remainder of this run. use this ability only during a run.|12&|13security chip|

|1hardware|2console|3sunny|4&^^^|5|6true|7|8|9|10|11+{M}^ +{L}^\once per turn, when you encounter a piece of ice, you may force the corp to "{#}^^^^^ if successful, give the runner &^ tag and end the run. if unsuccessful, the runner bypasses the currently encountered ice."\limit &^ console per player.|12&^^^^^^^^|13security nexus|

|1program|2icebreaker, decoder, cloud|3sunny|4&^^|5&^|6|7|8&^|9|10|11if you have at least {L}^^, the memory cost of this program is {M}, even if it is not installed.\{C}^^: break any number of code gate subroutines.\{C}^^: +&^^^ strength.|12&^^^^|13gs striker m1|

|1program|2icebreaker, killer, cloud|3sunny|4&^^|5&^|6|7|8&^|9|10|11if you have at least {L}^^, the memory cost of this program is {M}, even if it is not installed.\{C}^^: break any number of sentry subroutines.\{C}^^: +&^^^ strength.|12&^^^^^|13gs shrike m2|

|1program|2icebreaker, fracter, cloud|3sunny|4&^^|5&^|6|7|8&^|9|10|11if you have at least {L}^^, the memory cost of this program is {M}, even if it is not installed.\{C}^^: break any number of barrier subroutines.\{C}^^: +&^^^ strength.|12&^^^|13gs sherman m3|

|1resource|2virtual|3sunny|4&^^|5|6|7|8|9|10|11install only if you have at least {L}^^.\when your turn begins, you may lose {O}. if you do, look at the top card of r&d.|12&^^|13globalsec security clearance|

|1resource|2connection|3sunny|4&^^|5|6true|7|8|9|10|11reduce the cost to install @ by &^ for each {L} you have.\when your turn begins, you may make a run. you cannot use programs during this run.|12&^^^|13jak sinclair|

|1event|2current|3neutral|4&^|5|6|7|8|9|10|11this card is not trashed until another current is played or an agenda is scored.\the corp's identity text box is blank.|12&^|13employee strike|

|1event|2|3neutral|4&|5|6|7|8|9|10|11shuffle your stack. trash the top card of your stack. gain {C}X where x is equal to the install cost of that card.|12&|13windfall|

|1resource|2|3neutral|4&|5|6|7|8|9|10|11whenever you install a piece of hardware or a program, place {C}^ from the bank on @.\{O},{T}: take all credits from @.|12&|13technical writer|

|1event|2run, sabotage|3anarch|4&^^^|5|6|7|8|9|10|11make a run. when the run ends, trash &^ piece of ice that was rezzed during this run.|12&^^^|13run amok|

|1hardware|2consumer-grade|3anarch|4&^|5|6|7|8|9|10|11{T}: prevent up to x net or brain damage. trash cards from the top of your stack equal to the amount of damage prevented. x is the number of copies of @ installed (including the &^ just trashed).\limit &^^^^^^ per deck.|12&^|13ramujan-reliant 550 bmi|

|1resource|2virtual|3anarch|4&^|5|6|7|8|9|10|11unbroken subroutines resolve in the order of your choice.|12&|13street magic|

|1event|2run, job|3criminal|4&^^^|5|6|7|8|9|10|11make a run on a server with at least &^ piece of unrezzed ice. when the run ends, gain {C}^^ if it was successful.|12&^^^^^^|13high-stakes job|

|1program|2icebreaker, killer|3criminal|4&^^|5&^|6|7|8&^|9|10|11you cannot use this program to break subroutines on more than &^ ice per run.\{C}^: break up to &^^ sentry subroutines.\{C}^^: +&^^ strength.|12&^^^|13mongoose|

|1identity|2natural|3shaper|4&|5|6|7&|8|9&^^^^^^^^^^^^^^^|1045|11the first time each run you would take &^ or more tags, prevent &^ tag.|12|13jesminder sareen: girl behind the curtain|

|1hardware|2console|3shaper|4&^^^|5|6true|7|8|9|10|11 +{M}^^\once per turn, immediately after you access a card from r&d, you may add that card to the bottom of r&d. if you do, take &^ tag.\limit &^ console per player.|12&^^^|13maya|

|1program|2|3shaper|4&^^|5|6|7|8&^|9|10|11once per turn, when you encounter a piece of ice, you may have it gain &^ subtype of your choice that is not sentry, code gate, or barrier for the remainder of this run.|12&^^|13panchatantra|

|1resource|2location|3shaper|4&^^^|5|6|7|8|9|10|11forfeit &^ agenda: search your stack for &^ program, resource, or piece of hardware. install that card.|12&|13artist colony|

|1resource|2location, ritzy|3neutral|4&|5|6true|7|8|9|10|11{O}: place &^ power counter on @.\{O}: install a program from your grip, lowering the install cost by &^ for each power counter on @. remove &^ hosted power counter.|12&^|13chatterjee university|

|1hardware|2bomb|3anarch|4&^^^^|5|6|7|8|9|10|11{T}: the corp cannot rez more than &^ piece of ice for the remainder of this run. use this ability only during a run.|12&^|13emp device|

|1program|2virus|3anarch|4&^|5|6|7|8&^|9|10|11when you install this program, choose a server. as an additional cost to install a card in the root of or protecting that server, the corp must pay {C}^.\when the corp purges virus counters, trash this program.|12&^|13diwan|

|1event|2run, sabotage|3criminal|4&^^|5|6|7|8|9|10|11run hq. if successful, instead of breaching hq, the corp adds all cards in hq to the top of r&d in the order of their choice.|12&^^^|13cbi raid|

|1resource|2connection|3criminal|4&^|5|6|7|8|9|10|11whenever you use a {T} ability, gain {C}^.|12&^|13tech trader|

|1hardware|2consumer-grade, chip|3shaper|4&^^|5|6|7|8|9|10|11@ can host a program with a memory cost less than or equal to the number of copies of @ installed. the memory cost of the hosted program does not count against your memory limit.\limit &^^^^^^ per deck.|12&^|13netchip|

|1event|2current|3neutral|4&^|5|6|7|8|9|10|11this card is not trashed until another current is played or an agenda is scored.\the corp has &^ additional bad publicity (even if they have &).|12&^^^|13corporate scandal|

|1event|2|3neutral|4&|5|6|7|8|9|10|11play only if you have at least &^ seedy card installed.\the corp has &^ fewer {O} to spend on his or her next turn.|12&^^|13populist rally|

|1event|2run|3anarch|4&^^^|5|6|7|8|9|10|11run archives. if successful, instead of breaching archives, add this event to an agenda in the corp's score area as a hosted condition counter with "host agenda is worth &^ less agenda point. when the corp purges virus counters, trash this counter."|12&|13political graffiti|

|1identity|2natural|3criminal|4&|5|6|7&^|8|9&^^^^^^^^^^^^^^^|1045|11once per turn, you may jack out when you encounter a sentry.|12|13nero severn: information broker|

|1hardware|2console|3criminal|4&^^|5|6true|7|8|9|10|11 +{M}^ +{L}^\whenever you jack out, the corp reveals &^ card from hq at random.\limit &^ console per player.|12&^^|13reflection|

|1hardware|2consumer-grade|3criminal|4&^|5|6|7|8|9|10|11{O}: look at the top x cards of your stack and arrange them in any order. x is the number of copies of @ installed.\{T}: look at the top card of r&d.\limit &^^^^^^ per deck.|12&|13spy camera|

